,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,pork,,lunch meat,,flour,soda,butter,vegetables,beef,,,dinner rolls,,,,,,,,,,,,,,,,,,,,
1,,,waffles,vegetables,cheeses,,milk,,,,waffles,individual meals,,vegetables,,,,,,,,,,,,,,,,,,
2,pork,,ice cream,,dinner rolls,,spaghetti sauce,milk,,sandwich loaves,poultry,,ice cream,,,,,,,,,,,,,,,,,,,
3,juice,lunch meat,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pasta,tortillas,,,,vegetables,vegetables,,vegetables,flour,vegetables,pork,poultry,eggs,,,,,,,,,,,,,,,,,,
5,,eggs,,vegetables,bagels,,cereals,,,butter,cereals,bagels,,,,,,,,,,,,,,,,,,,,
6,,tortillas,vegetables,milk,ice cream,juice,,,,pasta,,,yogurt,,,,,,,,,,,,,,,,,,,
7,juice,,waffles,soda,cheeses,poultry,,vegetables,,,,,,,,,,,,,,,,,,,,,,,,
8,poultry,coffee/tea,coffee/tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,coffee/tea,,pork,flour,milk,soda,,eggs,tortillas,tortillas,vegetables,fruits,sugar,,,,,,,,,,,,,,,,,,,
10,ice cream,soda,bagels,,eggs,sugar,waffles,individual meals,,pasta,sandwich loaves,cheeses,vegetables,,,,,,,,,,,,,,,,,,,
11,tortillas,pork,,lunch meat,pasta,juice,bagels,vegetables,bagels,vegetables,,yogurt,sugar,waffles,,,,,,,,,,,,,,,,,,
12,fruits,,,,individual meals,flour,pork,,sugar,,,,bagels,,,,,,,,,,,,,,,,,,,
13,dinner rolls,individual meals,,,cereals,,,vegetables,sandwich loaves,cheeses,vegetables,,,,,,,,,,,,,,,,,,,,,
14,ice cream,cereals,,bagels,,lunch meat,juice,,cheeses,,,juice,,fruits,,,,,,,,,,,,,,,,,,
15,,flour,juice,milk,,cereals,,pasta,soda,,ice cream,,cheeses,beef,,,,,,,,,,,,,,,,,,
16,,pasta,individual meals,spaghetti sauce,cereals,sandwich loaves,,individual meals,,,,,,,,,,,,,,,,,,,,,,,,
17,,bagels,,coffee/tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,coffee/tea,eggs,,beef,juice,flour,sugar,individual meals,waffles,bagels,vegetables,coffee/tea,spaghetti sauce,,,,,,,,,,,,,,,,,,
19,,yogurt,juice,sugar,,sandwich loaves,butter,sandwich loaves,coffee/tea,,,,,,,,,,,,,,,,,,,,,,,
20,fruits,,pork,juice,bagels,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,vegetables,cereals,sugar,bagels,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,vegetables,,bagels,vegetables,,,vegetables,,cereals,cheeses,flour,lunch meat,pasta,soda,,,,,,,,,,,,,,,,,,
23,,pasta,cheeses,juice,,vegetables,sandwich loaves,coffee/tea,juice,lunch meat,spaghetti sauce,,,,,,,,,,,,,,,,,,,,,
24,sugar,pork,sandwich loaves,tortillas,ice cream,,yogurt,fruits,pasta,lunch meat,,juice,vegetables,vegetables,,,,,,,,,,,,,,,,,,
