,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,12389,,12279,,12665,11745,13090,10888,11053,,,11593,,,,,,,,,,,,,,,,,,,,
1,,,11132,10888,12100,,13473,,,,11132,10882,,10888,,,,,,,,,,,,,,,,,,
2,12389,,13357,,11593,,12675,13473,,10991,12539,,13357,,,,,,,,,,,,,,,,,,,
3,13319,12279,11745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12086,12713,,,,10888,10888,,10888,12665,10888,12389,12539,12711,,,,,,,,,,,,,,,,,,
5,,12711,,10888,11098,,11775,,,13090,11775,11098,,,,,,,,,,,,,,,,,,,,
6,,12713,10888,13473,13357,13319,,,,12086,,,13212,,,,,,,,,,,,,,,,,,,
7,13319,,11132,11745,12100,12539,,10888,,,,,,,,,,,,,,,,,,,,,,,,
8,12539,12138,12138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12138,,12389,12665,13473,11745,,12711,12713,12713,10888,12617,12659,,,,,,,,,,,,,,,,,,,
10,13357,11745,11098,,12711,12659,11132,10882,,12086,10991,12100,10888,,,,,,,,,,,,,,,,,,,
11,12713,12389,,12279,12086,13319,11098,10888,11098,10888,,13212,12659,11132,,,,,,,,,,,,,,,,,,
12,12617,,,,10882,12665,12389,,12659,,,,11098,,,,,,,,,,,,,,,,,,,
13,11593,10882,,,11775,,,10888,10991,12100,10888,,,,,,,,,,,,,,,,,,,,,
14,13357,11775,,11098,,12279,13319,,12100,,,13319,,12617,,,,,,,,,,,,,,,,,,
15,,12665,13319,13473,,11775,,12086,11745,,13357,,12100,11053,,,,,,,,,,,,,,,,,,
16,,12086,10882,12675,11775,10991,,10882,,,,,,,,,,,,,,,,,,,,,,,,
17,,11098,,12138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,12138,12711,,11053,13319,12665,12659,10882,11132,11098,10888,12138,12675,,,,,,,,,,,,,,,,,,
19,,13212,13319,12659,,10991,13090,10991,12138,,,,,,,,,,,,,,,,,,,,,,,
20,12617,,12389,13319,11098,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10888,11775,12659,11098,11745,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10888,,11098,10888,,,10888,,11775,12100,12665,12279,12086,11745,,,,,,,,,,,,,,,,,,
23,,12086,12100,13319,,10888,10991,12138,13319,12279,12675,,,,,,,,,,,,,,,,,,,,,
24,12659,12389,10991,12713,13357,,13212,12617,12086,12279,,13319,10888,10888,,,,,,,,,,,,,,,,,,
25,10991,10888,12138,,10888,,11775,11593,12138,12539,13090,13319,,10888,,,,,,,,,,,,,,,,,,
26,12389,12086,12100,12617,12659,12279,,,13090,10991,13357,11132,,,,,,,,,,,,,,,,,,,,
