,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,HJF_숯향가득삼겹살구이,nan,동원_통그릴델리햄150g,nan,CJ_백설밀가루1kg,크라운_새콤달콤블루소다,동원_모닝버터200g,지구인_채식주의샐러드볼,도_고기듬뿍김치제육,nan,nan,실속_1500모닝롤6입,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,nan,nan,삼립미각_이즈니버터와플,지구인_채식주의샐러드볼,동원_체다치즈3입,nan,매일_멸균흰우유200ml,nan,nan,nan,삼립미각_이즈니버터와플,도_브레드쏘야도시락,nan,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,HJF_숯향가득삼겹살구이,nan,롯데_스크류바아이스,nan,실속_1500모닝롤6입,nan,샘표_토마토파스타소스430,매일_멸균흰우유200ml,nan,샌_치즈에그샌드위치,CJ_고메순살치킨550g,nan,롯데_스크류바아이스,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,서울_ABC주스,동원_통그릴델리햄150g,크라운_새콤달콤블루소다,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,이가_투움바파스타,삼립_슈프림치즈부리또,nan,nan,nan,지구인_채식주의샐러드볼,지구인_채식주의샐러드볼,nan,지구인_채식주의샐러드볼,CJ_백설밀가루1kg,지구인_채식주의샐러드볼,HJF_숯향가득삼겹살구이,CJ_고메순살치킨550g,김천_깨끗한계란10입,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,김천_깨끗한계란10입,nan,지구인_채식주의샐러드볼,삼립_저온숙식빵,nan,동서_콘푸라이트,nan,nan,동원_모닝버터200g,동서_콘푸라이트,삼립_저온숙식빵,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,삼립_슈프림치즈부리또,지구인_채식주의샐러드볼,매일_멸균흰우유200ml,롯데_스크류바아이스,서울_ABC주스,nan,nan,nan,이가_투움바파스타,nan,nan,선명_하루견과요거트,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,서울_ABC주스,nan,삼립미각_이즈니버터와플,크라운_새콤달콤블루소다,동원_체다치즈3입,CJ_고메순살치킨550g,nan,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,CJ_고메순살치킨550g,진진_강릉커피블랙8T,진진_강릉커피블랙8T,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,진진_강릉커피블랙8T,nan,HJF_숯향가득삼겹살구이,CJ_백설밀가루1kg,매일_멸균흰우유200ml,크라운_새콤달콤블루소다,nan,김천_깨끗한계란10입,삼립_슈프림치즈부리또,삼립_슈프림치즈부리또,지구인_채식주의샐러드볼,푸드_하루한컵과일&견과,CJ_백설정백당1kg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
