item,item_id
"' bagels',",11098
" ' beef',",11053
" ' butter',",
" ' cereals',",
" ' cheeses',",
" ' coffee/tea',",
" ' dinner rolls',",
" ' eggs',",
" ' flour',",
" ' fruits',",
" ' ice cream',",
" ' individual meals',",
" ' juice',",
" ' lunch meat',",
" ' milk',",
" ' pasta',",
" ' pork',",
" ' poultry',",
" ' sandwich loaves',",
" ' soda',",
" ' spaghetti sauce',",
" ' sugar',",
" ' tortillas',",
" ' vegetables',",
" ' waffles',",
" ' yogurt',",
" 'Instant food products',",
" 'UHT-milk',",
" 'artif. sweetener',",
" 'baby food',",
" 'beef',",
" 'berries',",
" 'beverages',",
" 'bottled water',",
" 'brown bread',",
" 'butter',",
" 'butter milk',",
" 'cake bar',",
" 'candy',",
" 'canned fish',",
" 'canned fruit',",
" 'canned vegetables',",
" 'cereals',",
" 'chewing gum',",
" 'chicken',",
" 'chocolate',",
" 'chocolate marshmallow',",
" 'citrus fruit',",
" 'cocoa drinks',",
" 'coffee',",
" 'condensed milk',",
" 'cooking chocolate',",
" 'cream',",
" 'cream cheese',",
" 'curd cheese',",
" 'dessert',",
" 'domestic eggs',",
" 'fish',",
" 'flour',",
" 'frozen chicken',",
" 'frozen dessert',",
" 'frozen fish',",
" 'frozen fruits',",
" 'frozen meals',",
" 'frozen potato products',",
" 'frozen vegetables',",
" 'fruit/vegetable juice',",
" 'grapes',",
" 'ham',",
" 'hamburger meat',",
" 'hard cheese',",
" 'honey',",
" 'ice cream',",
" 'instant coffee',",
" 'jam',",
" 'long life bakery product',",
" 'meat',",
" 'meat spreads',",
" 'misc. beverages',",
" 'mustard',",
" nan,",
" 'nut snack',",
" 'nuts/prunes',",
" 'oil',",
" 'onions',",
" 'organic products',",
" 'organic sausage',",
" 'other vegetables',",
" 'packaged fruit/vegetables',",
" 'pasta',",
" 'pastry',",
" 'pip fruit',",
" 'popcorn',",
" 'pork',",
" 'potato products',",
" 'processed cheese',",
" 'pudding powder',",
" 'ready soups',",
" 'rice',",
" 'roll products',",
" 'rolls/buns',",
" 'root vegetables',",
" 'salad dressing',",
" 'salt',",
" 'salty snack',",
" 'sauces',",
" 'sausage',",
" 'semi-finished bread',",
" 'sliced cheese',",
" 'snack products',",
" 'soda',",
" 'soft cheese',",
" 'soups',",
" 'specialty cheese',",
" 'specialty chocolate',",
" 'specialty vegetables',",
" 'spices',",
" 'spread cheese',",
" 'sugar',",
" 'sweet spreads',",
" 'tea',",
" 'tidbits',",
" 'tropical fruit',",
" 'waffles',",
" 'whipped/sour cream',",
" 'white bread',",
" 'whole milk',",
" 'yogurt',",
 'zwieback'} ,
